signal_id,material_code,plant_code,period_date,period_type,demand_type,volume_rc,week_label
63,32000001,7101,2026-03-09,WEEK,POST_FCST,12612.0,w11
64,32000001,7101,2026-03-16,WEEK,POST_FCST,13093.0,w12
65,32000001,7101,2026-03-23,WEEK,POST_FCST,13561.0,w13
66,32000001,7101,2026-03-30,WEEK,POST_FCST,13196.0,w14
67,32000001,7101,2026-04-06,WEEK,POST_FCST,13235.0,w15
68,32000001,7101,2026-04-13,WEEK,POST_FCST,12498.0,w16
69,32000001,7101,2026-04-20,WEEK,POST_FCST,11644.0,w17
70,32000001,7101,2026-04-27,WEEK,POST_FCST,11368.0,w18
71,32000001,7101,2026-05-04,WEEK,POST_FCST,11520.0,w19
72,32000001,7101,2026-05-11,WEEK,POST_FCST,10830.0,w20
73,32000001,7101,2026-05-18,WEEK,POST_FCST,10228.0,w21
74,32000001,7101,2026-05-25,WEEK,POST_FCST,9916.0,w22
75,32000001,7101,2026-06-01,WEEK,POST_FCST,9020.0,w23
76,32000001,7101,2026-06-08,WEEK,POST_FCST,9109.0,w24
77,32000001,7101,2026-06-15,WEEK,POST_FCST,8475.0,w25
78,32000001,7101,2026-06-22,WEEK,POST_FCST,8798.0,w26
79,32000001,7101,2026-06-29,WEEK,POST_FCST,8507.0,w27
80,32000001,7101,2026-07-06,WEEK,POST_FCST,8551.0,w28
81,32000001,7101,2026-07-13,WEEK,POST_FCST,8740.0,w29
82,32000001,7101,2026-07-20,WEEK,POST_FCST,9124.0,w30
83,32000001,7101,2026-07-27,WEEK,POST_FCST,9293.0,w31
84,32000001,7101,2026-08-03,WEEK,POST_FCST,9175.0,w32
85,32000001,7101,2026-08-10,WEEK,POST_FCST,9654.0,w33
86,32000001,7101,2026-08-17,WEEK,POST_FCST,9508.0,w34
87,32000001,7101,2026-08-24,WEEK,POST_FCST,9632.0,w35
88,32000001,7101,2026-08-31,WEEK,POST_FCST,10089.0,w36
89,32000001,7101,2026-09-07,WEEK,POST_FCST,10062.0,w37
90,32000001,7101,2026-09-14,WEEK,POST_FCST,10976.0,w38
91,32000001,7101,2026-09-21,WEEK,POST_FCST,10359.0,w39
92,32000001,7101,2026-09-28,WEEK,POST_FCST,11185.0,w40
93,32000001,7101,2026-10-05,WEEK,POST_FCST,10858.0,w41
94,32000001,7101,2026-10-12,WEEK,POST_FCST,11926.0,w42
95,32000001,7101,2026-10-19,WEEK,POST_FCST,11786.0,w43
96,32000001,7101,2026-10-26,WEEK,POST_FCST,12428.0,w44
97,32000001,7101,2026-11-02,WEEK,POST_FCST,12116.0,w45
98,32000001,7101,2026-11-09,WEEK,POST_FCST,12795.0,w46
99,32000001,7101,2026-11-16,WEEK,POST_FCST,13422.0,w47
100,32000001,7101,2026-11-23,WEEK,POST_FCST,13254.0,w48
101,32000001,7101,2026-11-30,WEEK,POST_FCST,9901.0,w49
102,32000001,7101,2026-12-07,WEEK,POST_FCST,9953.0,w50
103,32000001,7101,2026-12-14,WEEK,POST_FCST,9764.0,w51
104,32000001,7101,2026-12-21,WEEK,POST_FCST,9900.0,w52
105,32000001,7101,2025-12-29,WEEK,ACTUAL,9701.0,w01
106,32000001,7101,2026-01-05,WEEK,ACTUAL,10066.0,w02
107,32000001,7101,2026-01-12,WEEK,ACTUAL,9080.0,w03
108,32000001,7101,2026-01-19,WEEK,ACTUAL,9352.0,w04
109,32000001,7101,2026-01-26,WEEK,ACTUAL,11135.0,w05
110,32000001,7101,2026-02-02,WEEK,ACTUAL,11059.0,w06
111,32000001,7101,2026-02-09,WEEK,ACTUAL,10508.0,w07
112,32000001,7101,2026-02-16,WEEK,ACTUAL,10717.0,w08
113,32000001,7101,2026-02-23,WEEK,ACTUAL,11684.0,w09
114,32000001,7101,2026-03-02,WEEK,ACTUAL,12018.0,w10
115,32000002,7101,2025-12-29,WEEK,IBP,7472.0,w01
116,32000002,7101,2026-01-05,WEEK,IBP,7422.0,w02
117,32000002,7101,2026-01-12,WEEK,IBP,7526.0,w03
118,32000002,7101,2026-01-19,WEEK,IBP,7298.0,w04
119,32000002,7101,2026-01-26,WEEK,IBP,8471.0,w05
120,32000002,7101,2026-02-02,WEEK,IBP,8477.0,w06
121,32000002,7101,2026-02-09,WEEK,IBP,8335.0,w07
122,32000002,7101,2026-02-16,WEEK,IBP,8255.0,w08
123,32000002,7101,2026-02-23,WEEK,IBP,9253.0,w09
124,32000002,7101,2026-03-02,WEEK,IBP,9918.0,w10
125,32000002,7101,2026-03-09,WEEK,IBP,9842.0,w11
126,32000002,7101,2026-03-16,WEEK,IBP,9904.0,w12
127,32000002,7101,2026-03-23,WEEK,IBP,10358.0,w13
128,32000002,7101,2026-03-30,WEEK,IBP,9923.0,w14
129,32000002,7101,2026-04-06,WEEK,IBP,9997.0,w15
130,32000002,7101,2026-04-13,WEEK,IBP,9487.0,w16
131,32000002,7101,2026-04-20,WEEK,IBP,9047.0,w17
132,32000002,7101,2026-04-27,WEEK,IBP,8942.0,w18
133,32000002,7101,2026-05-04,WEEK,IBP,8835.0,w19
134,32000002,7101,2026-05-11,WEEK,IBP,8418.0,w20
135,32000002,7101,2026-05-18,WEEK,IBP,7648.0,w21
136,32000002,7101,2026-05-25,WEEK,IBP,7130.0,w22
137,32000002,7101,2026-06-01,WEEK,IBP,7061.0,w23
138,32000002,7101,2026-06-08,WEEK,IBP,7094.0,w24
139,32000002,7101,2026-06-15,WEEK,IBP,6936.0,w25
140,32000002,7101,2026-06-22,WEEK,IBP,6598.0,w26
141,32000002,7101,2026-06-29,WEEK,IBP,6777.0,w27
142,32000002,7101,2026-07-06,WEEK,IBP,6691.0,w28
143,32000002,7101,2026-07-13,WEEK,IBP,7083.0,w29
144,32000002,7101,2026-07-20,WEEK,IBP,7030.0,w30
145,32000002,7101,2026-07-27,WEEK,IBP,7105.0,w31
146,32000002,7101,2026-08-03,WEEK,IBP,6951.0,w32
147,32000002,7101,2026-08-10,WEEK,IBP,7077.0,w33
148,32000002,7101,2026-08-17,WEEK,IBP,7238.0,w34
149,32000002,7101,2026-08-24,WEEK,IBP,7289.0,w35
150,32000002,7101,2026-08-31,WEEK,IBP,7652.0,w36
151,32000002,7101,2026-09-07,WEEK,IBP,8010.0,w37
152,32000002,7101,2026-09-14,WEEK,IBP,8330.0,w38
153,32000002,7101,2026-09-21,WEEK,IBP,8482.0,w39
154,32000002,7101,2026-09-28,WEEK,IBP,8264.0,w40
155,32000002,7101,2026-10-05,WEEK,IBP,8750.0,w41
156,32000002,7101,2026-10-12,WEEK,IBP,9072.0,w42
157,32000002,7101,2026-10-19,WEEK,IBP,9174.0,w43
158,32000002,7101,2026-10-26,WEEK,IBP,8997.0,w44
159,32000002,7101,2026-11-02,WEEK,IBP,9556.0,w45
160,32000002,7101,2026-11-09,WEEK,IBP,9518.0,w46
161,32000002,7101,2026-11-16,WEEK,IBP,10153.0,w47
162,32000002,7101,2026-11-23,WEEK,IBP,10173.0,w48
163,32000002,7101,2026-11-30,WEEK,IBP,7366.0,w49
164,32000002,7101,2026-12-07,WEEK,IBP,7565.0,w50
165,32000002,7101,2026-12-14,WEEK,IBP,7541.0,w51
166,32000002,7101,2026-12-21,WEEK,IBP,7424.0,w52
167,32000002,7101,2025-12-29,WEEK,POST_FCST,6977.0,w01
168,32000002,7101,2026-01-05,WEEK,POST_FCST,7299.0,w02
169,32000002,7101,2026-01-12,WEEK,POST_FCST,7212.0,w03
170,32000002,7101,2026-01-19,WEEK,POST_FCST,7357.0,w04
171,32000002,7101,2026-01-26,WEEK,POST_FCST,7933.0,w05
172,32000002,7101,2026-02-02,WEEK,POST_FCST,8143.0,w06
173,32000002,7101,2026-02-09,WEEK,POST_FCST,7953.0,w07
174,32000002,7101,2026-02-16,WEEK,POST_FCST,7959.0,w08
175,32000002,7101,2026-02-23,WEEK,POST_FCST,9271.0,w09
176,32000002,7101,2026-03-02,WEEK,POST_FCST,9288.0,w10
177,32000002,7101,2026-03-09,WEEK,POST_FCST,9086.0,w11
178,32000002,7101,2026-03-16,WEEK,POST_FCST,9354.0,w12
179,32000002,7101,2026-03-23,WEEK,POST_FCST,9918.0,w13
180,32000002,7101,2026-03-30,WEEK,POST_FCST,9450.0,w14
181,32000002,7101,2026-04-06,WEEK,POST_FCST,9513.0,w15
182,32000002,7101,2026-04-13,WEEK,POST_FCST,8793.0,w16
183,32000002,7101,2026-04-20,WEEK,POST_FCST,8389.0,w17
184,32000002,7101,2026-04-27,WEEK,POST_FCST,8304.0,w18
185,32000002,7101,2026-05-04,WEEK,POST_FCST,8181.0,w19
186,32000002,7101,2026-05-11,WEEK,POST_FCST,7977.0,w20
187,32000002,7101,2026-05-18,WEEK,POST_FCST,7495.0,w21
188,32000002,7101,2026-05-25,WEEK,POST_FCST,7021.0,w22
189,32000002,7101,2026-06-01,WEEK,POST_FCST,7061.0,w23
190,32000002,7101,2026-06-08,WEEK,POST_FCST,6615.0,w24
191,32000002,7101,2026-06-15,WEEK,POST_FCST,6487.0,w25
192,32000002,7101,2026-06-22,WEEK,POST_FCST,6627.0,w26
193,32000002,7101,2026-06-29,WEEK,POST_FCST,6426.0,w27
194,32000002,7101,2026-07-06,WEEK,POST_FCST,6543.0,w28
195,32000002,7101,2026-07-13,WEEK,POST_FCST,6816.0,w29
196,32000002,7101,2026-07-20,WEEK,POST_FCST,6862.0,w30
197,32000002,7101,2026-07-27,WEEK,POST_FCST,6507.0,w31
198,32000002,7101,2026-08-03,WEEK,POST_FCST,6925.0,w32
199,32000002,7101,2026-08-10,WEEK,POST_FCST,6836.0,w33
200,32000002,7101,2026-08-17,WEEK,POST_FCST,6920.0,w34
201,32000002,7101,2026-08-24,WEEK,POST_FCST,7176.0,w35
202,32000002,7101,2026-08-31,WEEK,POST_FCST,7476.0,w36
203,32000002,7101,2026-09-07,WEEK,POST_FCST,7556.0,w37
204,32000002,7101,2026-09-14,WEEK,POST_FCST,7669.0,w38
205,32000002,7101,2026-09-21,WEEK,POST_FCST,8005.0,w39
206,32000002,7101,2026-09-28,WEEK,POST_FCST,7755.0,w40
207,32000002,7101,2026-10-05,WEEK,POST_FCST,7999.0,w41
208,32000002,7101,2026-10-12,WEEK,POST_FCST,8244.0,w42
209,32000002,7101,2026-10-19,WEEK,POST_FCST,8383.0,w43
210,32000002,7101,2026-10-26,WEEK,POST_FCST,8539.0,w44
211,32000002,7101,2026-11-02,WEEK,POST_FCST,8950.0,w45
212,32000002,7101,2026-11-09,WEEK,POST_FCST,9465.0,w46
213,32000002,7101,2026-11-16,WEEK,POST_FCST,9262.0,w47
214,32000002,7101,2026-11-23,WEEK,POST_FCST,9600.0,w48
215,32000002,7101,2026-11-30,WEEK,POST_FCST,7429.0,w49
216,32000002,7101,2026-12-07,WEEK,POST_FCST,7185.0,w50
217,32000002,7101,2026-12-14,WEEK,POST_FCST,7297.0,w51
218,32000002,7101,2026-12-21,WEEK,POST_FCST,7011.0,w52
219,32000002,7101,2025-12-29,WEEK,ACTUAL,6795.0,w01
220,32000002,7101,2026-01-05,WEEK,ACTUAL,6667.0,w02
221,32000002,7101,2026-01-12,WEEK,ACTUAL,6776.0,w03
222,32000002,7101,2026-01-19,WEEK,ACTUAL,6869.0,w04
223,32000002,7101,2026-01-26,WEEK,ACTUAL,7461.0,w05
224,32000002,7101,2026-02-02,WEEK,ACTUAL,7379.0,w06
225,32000002,7101,2026-02-09,WEEK,ACTUAL,7408.0,w07
226,32000002,7101,2026-02-16,WEEK,ACTUAL,7725.0,w08
227,32000002,7101,2026-02-23,WEEK,ACTUAL,8509.0,w09
228,32000002,7101,2026-03-02,WEEK,ACTUAL,9023.0,w10
229,32000003,7101,2025-12-29,WEEK,IBP,3953.0,w01
230,32000003,7101,2026-01-05,WEEK,IBP,3997.0,w02
231,32000003,7101,2026-01-12,WEEK,IBP,3843.0,w03
232,32000003,7101,2026-01-19,WEEK,IBP,4023.0,w04
233,32000003,7101,2026-01-26,WEEK,IBP,4381.0,w05
234,32000003,7101,2026-02-02,WEEK,IBP,4238.0,w06
235,32000003,7101,2026-02-09,WEEK,IBP,4445.0,w07
236,32000003,7101,2026-02-16,WEEK,IBP,4457.0,w08
237,32000003,7101,2026-02-23,WEEK,IBP,4810.0,w09
238,32000003,7101,2026-03-02,WEEK,IBP,5069.0,w10
239,32000003,7101,2026-03-09,WEEK,IBP,5232.0,w11
240,32000003,7101,2026-03-16,WEEK,IBP,5415.0,w12
241,32000003,7101,2026-03-23,WEEK,IBP,5234.0,w13
242,32000003,7101,2026-03-30,WEEK,IBP,5048.0,w14
243,32000003,7101,2026-04-06,WEEK,IBP,5098.0,w15
244,32000003,7101,2026-04-13,WEEK,IBP,4935.0,w16
245,32000003,7101,2026-04-20,WEEK,IBP,4776.0,w17
246,32000003,7101,2026-04-27,WEEK,IBP,4705.0,w18
247,32000003,7101,2026-05-04,WEEK,IBP,4535.0,w19
248,32000003,7101,2026-05-11,WEEK,IBP,4412.0,w20
249,32000003,7101,2026-05-18,WEEK,IBP,4034.0,w21
250,32000003,7101,2026-05-25,WEEK,IBP,3815.0,w22
251,32000003,7101,2026-06-01,WEEK,IBP,3802.0,w23
252,32000003,7101,2026-06-08,WEEK,IBP,3763.0,w24
253,32000003,7101,2026-06-15,WEEK,IBP,3559.0,w25
254,32000003,7101,2026-06-22,WEEK,IBP,3564.0,w26
255,32000003,7101,2026-06-29,WEEK,IBP,3473.0,w27
256,32000003,7101,2026-07-06,WEEK,IBP,3546.0,w28
257,32000003,7101,2026-07-13,WEEK,IBP,3643.0,w29
258,32000003,7101,2026-07-20,WEEK,IBP,3580.0,w30
259,32000003,7101,2026-07-27,WEEK,IBP,3624.0,w31
260,32000003,7101,2026-08-03,WEEK,IBP,3648.0,w32
261,32000003,7101,2026-08-10,WEEK,IBP,3646.0,w33
262,32000003,7101,2026-08-17,WEEK,IBP,3832.0,w34
263,32000003,7101,2026-08-24,WEEK,IBP,3884.0,w35
264,32000003,7101,2026-08-31,WEEK,IBP,3911.0,w36
265,32000003,7101,2026-09-07,WEEK,IBP,4055.0,w37
266,32000003,7101,2026-09-14,WEEK,IBP,4368.0,w38
267,32000003,7101,2026-09-21,WEEK,IBP,4372.0,w39
268,32000003,7101,2026-09-28,WEEK,IBP,4394.0,w40
269,32000003,7101,2026-10-05,WEEK,IBP,4624.0,w41
270,32000003,7101,2026-10-12,WEEK,IBP,4663.0,w42
271,32000003,7101,2026-10-19,WEEK,IBP,4625.0,w43
272,32000003,7101,2026-10-26,WEEK,IBP,4832.0,w44
273,32000003,7101,2026-11-02,WEEK,IBP,5085.0,w45
274,32000003,7101,2026-11-09,WEEK,IBP,5213.0,w46
275,32000003,7101,2026-11-16,WEEK,IBP,5195.0,w47
276,32000003,7101,2026-11-23,WEEK,IBP,5216.0,w48
277,32000003,7101,2026-11-30,WEEK,IBP,3901.0,w49
278,32000003,7101,2026-12-07,WEEK,IBP,3920.0,w50
279,32000003,7101,2026-12-14,WEEK,IBP,3987.0,w51
280,32000003,7101,2026-12-21,WEEK,IBP,3969.0,w52
281,32000003,7101,2025-12-29,WEEK,POST_FCST,3756.0,w01
282,32000003,7101,2026-01-05,WEEK,POST_FCST,3948.0,w02
283,32000003,7101,2026-01-12,WEEK,POST_FCST,3832.0,w03
284,32000003,7101,2026-01-19,WEEK,POST_FCST,3720.0,w04
285,32000003,7101,2026-01-26,WEEK,POST_FCST,4047.0,w05
286,32000003,7101,2026-02-02,WEEK,POST_FCST,4064.0,w06
287,32000003,7101,2026-02-09,WEEK,POST_FCST,4095.0,w07
288,32000003,7101,2026-02-16,WEEK,POST_FCST,4067.0,w08
289,32000003,7101,2026-02-23,WEEK,POST_FCST,4631.0,w09
290,32000003,7101,2026-03-02,WEEK,POST_FCST,4855.0,w10
291,32000003,7101,2026-03-09,WEEK,POST_FCST,4811.0,w11
292,32000003,7101,2026-03-16,WEEK,POST_FCST,5293.0,w12
293,32000003,7101,2026-03-23,WEEK,POST_FCST,4958.0,w13
294,32000003,7101,2026-03-30,WEEK,POST_FCST,4950.0,w14
295,32000003,7101,2026-04-06,WEEK,POST_FCST,4905.0,w15
296,32000003,7101,2026-04-13,WEEK,POST_FCST,4933.0,w16
297,32000003,7101,2026-04-20,WEEK,POST_FCST,4418.0,w17
298,32000003,7101,2026-04-27,WEEK,POST_FCST,4523.0,w18
299,32000003,7101,2026-05-04,WEEK,POST_FCST,4534.0,w19
300,32000003,7101,2026-05-11,WEEK,POST_FCST,4302.0,w20
301,32000003,7101,2026-05-18,WEEK,POST_FCST,4091.0,w21
302,32000003,7101,2026-05-25,WEEK,POST_FCST,3652.0,w22
303,32000003,7101,2026-06-01,WEEK,POST_FCST,3515.0,w23
304,32000003,7101,2026-06-08,WEEK,POST_FCST,3582.0,w24
305,32000003,7101,2026-06-15,WEEK,POST_FCST,3537.0,w25
306,32000003,7101,2026-06-22,WEEK,POST_FCST,3436.0,w26
307,32000003,7101,2026-06-29,WEEK,POST_FCST,3440.0,w27
308,32000003,7101,2026-07-06,WEEK,POST_FCST,3360.0,w28
309,32000003,7101,2026-07-13,WEEK,POST_FCST,3571.0,w29
310,32000003,7101,2026-07-20,WEEK,POST_FCST,3408.0,w30
311,32000003,7101,2026-07-27,WEEK,POST_FCST,3484.0,w31
312,32000003,7101,2026-08-03,WEEK,POST_FCST,3513.0,w32
313,32000003,7101,2026-08-10,WEEK,POST_FCST,3612.0,w33
314,32000003,7101,2026-08-17,WEEK,POST_FCST,3647.0,w34
315,32000003,7101,2026-08-24,WEEK,POST_FCST,3683.0,w35
316,32000003,7101,2026-08-31,WEEK,POST_FCST,3834.0,w36
317,32000003,7101,2026-09-07,WEEK,POST_FCST,3923.0,w37
318,32000003,7101,2026-09-14,WEEK,POST_FCST,4131.0,w38
319,32000003,7101,2026-09-21,WEEK,POST_FCST,4064.0,w39
320,32000003,7101,2026-09-28,WEEK,POST_FCST,4174.0,w40
321,32000003,7101,2026-10-05,WEEK,POST_FCST,4381.0,w41
322,32000003,7101,2026-10-12,WEEK,POST_FCST,4323.0,w42
323,32000003,7101,2026-10-19,WEEK,POST_FCST,4500.0,w43
324,32000003,7101,2026-10-26,WEEK,POST_FCST,4500.0,w44
325,32000003,7101,2026-11-02,WEEK,POST_FCST,4694.0,w45
326,32000003,7101,2026-11-09,WEEK,POST_FCST,5134.0,w46
327,32000003,7101,2026-11-16,WEEK,POST_FCST,4945.0,w47
328,32000003,7101,2026-11-23,WEEK,POST_FCST,5257.0,w48
329,32000003,7101,2026-11-30,WEEK,POST_FCST,3725.0,w49
330,32000003,7101,2026-12-07,WEEK,POST_FCST,3855.0,w50
331,32000003,7101,2026-12-14,WEEK,POST_FCST,3879.0,w51
332,32000003,7101,2026-12-21,WEEK,POST_FCST,3829.0,w52
333,32000003,7101,2025-12-29,WEEK,ACTUAL,3711.0,w01
334,32000003,7101,2026-01-05,WEEK,ACTUAL,3685.0,w02
335,32000003,7101,2026-01-12,WEEK,ACTUAL,3656.0,w03
336,32000003,7101,2026-01-19,WEEK,ACTUAL,3916.0,w04
337,32000003,7101,2026-01-26,WEEK,ACTUAL,4259.0,w05
338,32000003,7101,2026-02-02,WEEK,ACTUAL,4325.0,w06
339,32000003,7101,2026-02-09,WEEK,ACTUAL,3912.0,w07
340,32000003,7101,2026-02-16,WEEK,ACTUAL,4210.0,w08
341,32000003,7101,2026-02-23,WEEK,ACTUAL,4900.0,w09
342,32000003,7101,2026-03-02,WEEK,ACTUAL,4656.0,w10
343,32000004,7101,2025-12-29,WEEK,IBP,8407.0,w01
344,32000004,7101,2026-01-05,WEEK,IBP,8757.0,w02
345,32000004,7101,2026-01-12,WEEK,IBP,8671.0,w03
346,32000004,7101,2026-01-19,WEEK,IBP,8809.0,w04
347,32000004,7101,2026-01-26,WEEK,IBP,9290.0,w05
348,32000004,7101,2026-02-02,WEEK,IBP,9663.0,w06
349,32000004,7101,2026-02-09,WEEK,IBP,9325.0,w07
350,32000004,7101,2026-02-16,WEEK,IBP,9304.0,w08
351,32000004,7101,2026-02-23,WEEK,IBP,10573.0,w09
352,32000004,7101,2026-03-02,WEEK,IBP,11433.0,w10
353,32000004,7101,2026-03-09,WEEK,IBP,11333.0,w11
354,32000004,7101,2026-03-16,WEEK,IBP,11669.0,w12
355,32000004,7101,2026-03-23,WEEK,IBP,11554.0,w13
356,32000004,7101,2026-03-30,WEEK,IBP,11476.0,w14
357,32000004,7101,2026-04-06,WEEK,IBP,11149.0,w15
358,32000004,7101,2026-04-13,WEEK,IBP,10995.0,w16
359,32000004,7101,2026-04-20,WEEK,IBP,10321.0,w17
360,32000004,7101,2026-04-27,WEEK,IBP,10282.0,w18
361,32000004,7101,2026-05-04,WEEK,IBP,9905.0,w19
362,32000004,7101,2026-05-11,WEEK,IBP,9382.0,w20
363,32000004,7101,2026-05-18,WEEK,IBP,9198.0,w21
364,32000004,7101,2026-05-25,WEEK,IBP,8461.0,w22
365,32000004,7101,2026-06-01,WEEK,IBP,8069.0,w23
366,32000004,7101,2026-06-08,WEEK,IBP,8220.0,w24
367,32000004,7101,2026-06-15,WEEK,IBP,7715.0,w25
368,32000004,7101,2026-06-22,WEEK,IBP,7789.0,w26
369,32000004,7101,2026-06-29,WEEK,IBP,7958.0,w27
370,32000004,7101,2026-07-06,WEEK,IBP,7827.0,w28
371,32000004,7101,2026-07-13,WEEK,IBP,7759.0,w29
372,32000004,7101,2026-07-20,WEEK,IBP,8151.0,w30
373,32000004,7101,2026-07-27,WEEK,IBP,8089.0,w31
374,32000004,7101,2026-08-03,WEEK,IBP,7948.0,w32
375,32000004,7101,2026-08-10,WEEK,IBP,8023.0,w33
376,32000004,7101,2026-08-17,WEEK,IBP,8609.0,w34
377,32000004,7101,2026-08-24,WEEK,IBP,8694.0,w35
378,32000004,7101,2026-08-31,WEEK,IBP,8649.0,w36
379,32000004,7101,2026-09-07,WEEK,IBP,9278.0,w37
380,32000004,7101,2026-09-14,WEEK,IBP,9484.0,w38
381,32000004,7101,2026-09-21,WEEK,IBP,9297.0,w39
382,32000004,7101,2026-09-28,WEEK,IBP,9388.0,w40
383,32000004,7101,2026-10-05,WEEK,IBP,9777.0,w41
384,32000004,7101,2026-10-12,WEEK,IBP,10335.0,w42
385,32000004,7101,2026-10-19,WEEK,IBP,10068.0,w43
386,32000004,7101,2026-10-26,WEEK,IBP,10575.0,w44
387,32000004,7101,2026-11-02,WEEK,IBP,11223.0,w45
388,32000004,7101,2026-11-09,WEEK,IBP,11475.0,w46
389,32000004,7101,2026-11-16,WEEK,IBP,11286.0,w47
390,32000004,7101,2026-11-23,WEEK,IBP,11878.0,w48
391,32000004,7101,2026-11-30,WEEK,IBP,8430.0,w49
392,32000004,7101,2026-12-07,WEEK,IBP,8811.0,w50
393,32000004,7101,2026-12-14,WEEK,IBP,8439.0,w51
394,32000004,7101,2026-12-21,WEEK,IBP,8579.0,w52
395,32000004,7101,2025-12-29,WEEK,POST_FCST,8497.0,w01
396,32000004,7101,2026-01-05,WEEK,POST_FCST,8068.0,w02
397,32000004,7101,2026-01-12,WEEK,POST_FCST,8120.0,w03
398,32000004,7101,2026-01-19,WEEK,POST_FCST,8448.0,w04
399,32000004,7101,2026-01-26,WEEK,POST_FCST,9291.0,w05
400,32000004,7101,2026-02-02,WEEK,POST_FCST,9233.0,w06
401,32000004,7101,2026-02-09,WEEK,POST_FCST,9272.0,w07
402,32000004,7101,2026-02-16,WEEK,POST_FCST,9161.0,w08
403,32000004,7101,2026-02-23,WEEK,POST_FCST,10169.0,w09
404,32000004,7101,2026-03-02,WEEK,POST_FCST,10657.0,w10
